Title,Author,Rating,Review
Mahabharata [Bhagavad Gita],Unknown,4.0(1),jala
Epic of Gilgamesh,Unknown,No Rating,No Review
The Old Testament,Unknown,No Rating,No Review
Illiad,Homer,4.5(2),nilufar
Odyssey,Homer,No Rating,No Review
Histories,Herodotus,No Rating,No Review
[Plays],Sophocles,No Rating,No Review
[Plays],Aeschyles,No Rating,No Review
Hippolytus,Euripides,4.0(1),
Bachants,Euripides,4.0(1),jala
Electra,Euripides,No Rating,No Review
The Phornician Women,Euripides,2.0(1),aysu
The Peloponesian War,Thucydides,No Rating,No Review
Dialogues,Plato,No Rating,No Review
Poetics,Aristotle,No Rating,No Review
Physics,Aristotle,No Rating,No Review
Ethics,Aristotle,No Rating,No Review
De Anima,Aristotle,No Rating,No Review
Greek Anthology,Unknown,No Rating,No Review
On The Nature of Things,Lucretius,No Rating,No Review
Parallel Lives,Plutarch,No Rating,No Review
Aeneid,Virgil,No Rating,No Review
Bucolics,Virgil,No Rating,No Review
Georgics,Virgil,No Rating,No Review
Annals,Tacitus,No Rating,No Review
Metamorphoses,Ovid,No Rating,No Review
Heroides,Ovid,No Rating,No Review
Amores,Ovid,No Rating,No Review
The New Testament,Unknown,No Rating,No Review
The Twelve Caesars,Suetonius,No Rating,No Review
Meditations,Marcus Aurelius,4.0(1),
[Poems],Catullus,No Rating,No Review
[Poems],Horace,No Rating,No Review
Discourses,Epictetus,No Rating,No Review
[Plays],Aristophanes,No Rating,No Review
Historical Miscellany,Aelianus,No Rating,No Review
On the Nature of Animals,Aelianus,No Rating,No Review
Argonautica,Apollonius Rhodius,No Rating,No Review
Fourteen Byzantine Rulers,Michael Psellus,No Rating,No Review
The Rise and Fall of the Roman Empire,Edward Gibbon,No Rating,No Review
The Enneads,Plotinus,No Rating,No Review
Ecclesiastical History,Eusebius,No Rating,No Review
Consolations of Philosophy,Boethius,3.0(1),
Letters,Pliny the Younger,No Rating,No Review
Byzantine verse romances,Unknown,No Rating,No Review
Fragments,Heraclitus,No Rating,No Review
Confessions,St. Augustine,No Rating,No Review
Summa Theologica,Thomas Aquinas,No Rating,No Review
The Little Flowers,St. Francis of Assisi,No Rating,No Review
The Prince,Niccolò Machiavelli,No Rating,No Review
Divide Comedy,Dante Aighieri,No Rating,No Review
Novelle,Franco Sacchetti,No Rating,No Review
Icelandic sagas,Unknown,No Rating,No Review
Anthony and Cleopatra,William Shakespeare,No Rating,No Review
Hamlet,William Shakespeare,No Rating,No Review
Macbeth,William Shakespeare,No Rating,No Review
Henry V,William Shakespeare,No Rating,No Review
Unknown,François Rabelais,No Rating,No Review
Unknown,Francis Bacon,No Rating,No Review
[Selected Works],Martin Luther,No Rating,No Review
Institutes of the Christian Religion,John Calvin,No Rating,No Review
Essays,Michel de Montaigne,No Rating,No Review
Don Quixote,Miguel de Cervantes,No Rating,No Review
Discourses,René Descartes,No Rating,No Review
Song of Roland,Unknown,No Rating,No Review
Beowulf,Unknown,No Rating,No Review
Unknown,Benvenuto Cellini,No Rating,No Review
Education of Henry Adams,Henry Adams,No Rating,No Review
The Leviathan,Thomas Hobbes,No Rating,No Review
Thoughts,Blaise Pascal,No Rating,No Review
Paradise Lost,John Milton,5.0(1),lala
Unknown,John Donne,No Rating,No Review
Unknown,Andrew Marvell,No Rating,No Review
Unknown,George Herbert,No Rating,No Review
Unknown,Richard Crashaw,No Rating,No Review
Treatises,Baruch Spinoza,No Rating,No Review
Charterhouse of Parma,Stendhal,No Rating,No Review
The Red and the Black,Stendhal,No Rating,No Review
The Life of Henry Brulard,Stendhal,No Rating,No Review
Gulliver’s Travels,Jonathan Swift,No Rating,No Review
Tristram Shandy,Laurence Sterne,No Rating,No Review
Dangerous Liasons,Choderlos de Laclos,No Rating,No Review
Persian Letters,Baron de Montesquieu,No Rating,No Review
Second Treatise on Government,John Locke,No Rating,No Review
The Wealth of Nations,Adam Smith,No Rating,No Review
Discourse on Metaphysics,Gottfried Leibniz,No Rating,No Review
Everything,David Hume,No Rating,No Review
The Federalist Papers,Unknown,No Rating,No Review
Critique of Pure Reason,Immanuel Kant,No Rating,No Review
Fear and Trembling,Søren Kierkegaard,No Rating,No Review
Either/Or,Søren Kierkegaard,No Rating,No Review
Philosophical Fragments,Søren Kierkegaard,No Rating,No Review
Notes From the Underground,Fyodor Dostoevsky,No Rating,No Review
The Possessed,Fyodor Dostoevsky,No Rating,No Review
Democracy in America,Alexis de Tocqueville,No Rating,No Review
Faust,Johann Wolfgang von Goethe,No Rating,No Review
Italian Journey,Johann Wolfgang von Goethe,4.7(3),elnamajala
Empire of the Czar,Marquis de Custine",No Rating,No Review
Astolphe-Louis-Léonor,Marquis de Custine",No Rating,No Review
Mimesis,Eric Auerbach,No Rating,No Review
Conquest of Mexico,William H. Prescott,No Rating,No Review
Labyrinths of Solitude,Octavio Paz:,No Rating,No Review
The Logic of Scientific Discovery,Sir Karl Popper,No Rating,No Review
The Open Society and Its Enemies,Sir Karl Popper,No Rating,No Review
Crowds and Power,Elias Canetti,No Rating,No Review
